formatted_address,name,place_id,url,user_ratings_total
"150 Sam Walton Drive Ste 600, Sparta, TN 38583, USA",Fast Pace Urgent Care Sparta,ChIJlW3xwo8uZ4gRVDBe-6EGU3U,https://maps.google.com/?cid=8454108218281308244,36
"817 W Main St, Livingston, TN 38570, USA",Fast Pace Urgent Care Livingston,ChIJvQGZHQ4NZ4gRzryt02D1Q-A,https://maps.google.com/?cid=16160029684152515790,2
"321 E Central Ave, Jamestown, TN 38556, USA",Fast Pace Urgent Care Jamestown,ChIJn6cLvLqAXYgRROdh0jGHsiE,https://maps.google.com/?cid=2428151797158897476,24
"665 N Main St, Crossville, TN 38555, USA",Fast Pace Urgent Care Crossville,ChIJa3azpc9QZ4gR65jaJBXDyc0,https://maps.google.com/?cid=14828597743674104043,96
"562 W Main St, Cookeville, TN 38506, USA",Fast Pace Urgent Care Algood,ChIJS5Zo3AwYZ4gRKCpzI24ZWtE,https://maps.google.com/?cid=15085397862662744616,108
"1414 W College St, Pulaski, TN 38478, USA",Fast Pace Urgent Care Pulaski,ChIJ62kxj8kCY4gRJu8nzV0CFxs,https://maps.google.com/?cid=1952031565385559846,37
"129 N Locust Ave A, Lawrenceburg, TN 38464, USA",Fast Pace Urgent Care Lawrenceburg,ChIJOapy-O8mY4gRSNcJhdl9AVk,https://maps.google.com/?cid=6413545717545686856,78
"560 E Main St, Hohenwald, TN 38462, USA",Fast Pace Urgent Care Hohenwald,ChIJV3qev7JKY4gR6E1hWPlG9aA,https://maps.google.com/?cid=11598254452106153448,16
"104 1st Ave, Collinwood, TN 38450, USA",Fast Pace Urgent Care Collinwood,ChIJJSVCW3QnfYgRAKIT8hbvfjs,https://maps.google.com/?cid=4287126777132982784,12
"1021 Mulberry Ave, Selmer, TN 38375, USA",Fast Pace Urgent Care Selmer,ChIJnc4unxTMfYgRi7qCyfPbU3g,https://maps.google.com/?cid=8670515547722660491,27
"1805 Wayne Rd, Savannah, TN 38372, USA",Fast Pace Urgent Care Savannah,ChIJQXW57ZZUfIgRBhIIjpzIAOQ,https://maps.google.com/?cid=16429352015370916358,36
"184 Tennessee Ave N, Parsons, TN 38363, USA",Fast Pace Urgent Care Parsons,ChIJXfS0EYmJfIgRSWntYn6frRI,https://maps.google.com/?cid=1345907228828068169,18
"125 W Church St, Lexington, TN 38351, USA",Fast Pace Urgent Care Lexington,ChIJtX-irahufIgRkGy9He8aGbU,https://maps.google.com/?cid=13049491009581182096,46
"119 Veterans Dr N, Huntingdon, TN 38344, USA",Fast Pace Urgent Care Huntingdon,ChIJrTMBUX6Me4gRV1UtgdNTfvA,https://maps.google.com/?cid=17329380584038683991,45
"2634 N Central Ave, Humboldt, TN 38343, USA",Fast Pace Urgent Care Humboldt,ChIJF6pCS6KtfogRo722TaA-OTw,https://maps.google.com/?cid=4339568574167694755,72
"715 E Main St, Henderson, TN 38340, USA",Fast Pace Urgent Care Henderson,ChIJ2c9wnDk7fIgRZgFG7-tT4ds,https://maps.google.com/?cid=15844037236862878054,47
